Species,family,Photosynthetic.pathway (confirmed using data from literature or TERN stable isotope analysis),Photosyntehtic.pathway (inferred from lineage),Photosynthetic pathway (combined),Source,Justification for inference based on lineage,Notes,longitude (deg),latitude (deg),site_name
Setaria dielsii,Poaceae,C4,NA,C4,TERN SIA,NA,NA,118.268075,-22.72358889,site_at_-22.724_deg_lat_118.268_deg_long
Setaria surgens,Poaceae,C4,NA,C4,TERN SIA,NA,NA,133.5234889,-17.52132222,site_at_-17.521_deg_lat_133.523_deg_long
Setaria verticillata,Poaceae,C4,NA,C4,Taylor et al. 2010; Osborne et al. 2014,NA,Potential error with TRY database. This species was listed as C3 in TRY but in other literature it is C4,NA,NA,no site data
Sida ammophila,Malvaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Sida argillacea,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Sida arsiniata,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Sida brachypoda,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Sida calyxhymenia,Malvaceae,C3,NA,C3,Pate et al 1998,NA,NA,NA,NA,no site data
Sida cordifolia,Malvaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Sida cunninghamii,Malvaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Sida ectogama,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Sida fibulifera,Malvaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Sida goniocarpa,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Sida hackettiana,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Sida intricata,Malvaceae,C3,NA,C3,TERN SIA,NA,NA,141.4337544,-31.89335056,site_at_-31.893_deg_lat_141.434_deg_long
Sida petrophila,Malvaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Sida platycalyx,Malvaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Sida rohlenae,Malvaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Sida spenceriana,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Sida spinosa,Malvaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Sida spodochroma,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Sida trichopoda,Malvaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Sigesbeckia orientalis,Asteraceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Sisymbrium erysimoides,Brassicaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Sisymbrium irio,Brassicaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Smilax glyciphylla,Smilacaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Solanum centrale,Solanaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Solanum chenopodinum,Solanaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Solanum cleistogamum,Solanaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Solanum elatius,Solanaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Solanum ellipticum,Solanaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Solanum esuriale,Solanaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Solanum ferocissimum,Solanaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Solanum lasiophyllum,Solanaceae,C3,NA,C3,TRY,Pate et al 1998,NA,NA,NA,no site data
Solanum nigrum,Solanaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Solanum orbiculatum,Solanaceae,C3,NA,C3,TRY,Pate et al 1998,NA,NA,NA,no site data
Solanum petrophilum,Solanaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Solanum pugiunculiferum,Solanaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Solanum quadriloculatum,Solanaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Solanum sturtianum,Solanaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Sonchus oleraceus,Asteraceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Sorghum intrans,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Sorghum plumosum,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Sorghum timorense,Poaceae,C4,NA,C4,TERN SIA,NA,NA,137.3258,-20.02463611,site_at_-20.025_deg_lat_137.326_deg_long
Sowerbaea laxiflora,Asparagaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Spergularia diandra,Caryophyllaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Spermacoce aequabilis,Rubiaceae,U,C3,C3,Guillaume et al 2001; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Spermacoce brachystema,Rubiaceae,U,C3,C3,Guillaume et al 2001; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Spermacoce constricta,Rubiaceae,U,C3,C3,Guillaume et al 2001; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Spermacoce dolichosperma,Rubiaceae,U,C3,C3,Guillaume et al 2001; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Spermacoce erectiloba,Rubiaceae,U,C3,C3,Guillaume et al 2001; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Spermacoce fabiformis,Rubiaceae,U,C3,C3,Guillaume et al 2001; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Spermacoce hillii,Rubiaceae,U,C3,C3,Guillaume et al 2001; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Spermacoce leptoloba,Rubiaceae,U,C3,C3,Guillaume et al 2001; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Spermacoce occultiseta,Rubiaceae,U,C3,C3,Guillaume et al 2001; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Sphaerolobium minus,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Sphagnum cristatum,Sphagnaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Sporobolus actinocladus,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Sporobolus australasicus,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Sporobolus caroli,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Sporobolus mitchellii,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Sporobolus pulchellus,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Sporobolus virginicus,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Spyridium parvifolium,Rhamnaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Spyridium phlebophyllum,Rhamnaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Spyridium thymifolium,Rhamnaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Stachys arvensis,Lamiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Stellaria pungens,Caryophyllaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Stenanthemum stipulosum,Rhamnaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Stenopetalum anfractum,Brassicaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards; Pate et al 1998,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Stenopetalum lineare,Brassicaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards; Pate et al 1998,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Stenopetalum nutans,Brassicaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards; Pate et al 1998,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Stirlingia latifolia,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Streptoglossa adscendens,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,135.6167917,-25.12393333,site_at_-25.124_deg_lat_135.617_deg_long
Streptoglossa bubakii,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,117.1698361,-21.39493056,site_at_-21.395_deg_lat_117.17_deg_long
Streptoglossa odora,Asteraceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Stylidium arenicola,Stylidiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Stylidium ciliatum,Stylidiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Stylidium crassifolium,Stylidiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,"Stylidium lineare is C3, only one in TRY database",NA,NA,no site data
Stylidium dielsianum,Stylidiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Stylidium graminifolium,Stylidiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Stylidium humphreysii,Stylidiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Stylidium montanum,Stylidiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Stylidium piliferum,Stylidiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Stylidium repens,Stylidiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Stylidium scandens,Stylidiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Stylidium semipartitum,Stylidiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Stylobasium spathulatum,Surianaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Stylosanthes hamata,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Stylosanthes scabra,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Stylosanthes viscosa,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Styphelia laeta,Ericaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Swainsona affinis,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Swainsona burkei,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Swainsona campylantha,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Swainsona flavicarinata,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Swainsona formosa,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Swainsona kingii,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Swainsona laxa,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Swainsona oligophylla,Fabaceae,C3,NA,C3,TERN SIA,NA,NA,135.4235033,-26.09590833,site_at_-26.096_deg_lat_135.424_deg_long
Swainsona oroboides,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Swainsona phacoides,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Swainsona stipularis,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Swainsona tenuis,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Swainsona thompsoniana,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Synaphea spinulosa,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Syncarpia glomulifera,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Syzygium angophoroides,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Syzygium suborbiculare,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Tacca leontopetaloides,Taccaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Taraxacum sect taraxacum,Asteraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Tasmannia xerophila,Winteraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Taxandria parviceps,Myrtaceae,C3,NA,C3,TERN SIA,NA,NA,117.1554361,-34.61917222,site_at_-34.619_deg_lat_117.155_deg_long
Tecticornia disarticulata,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Tecticornia halocnemoides,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Tecticornia indica,Chenopodiaceae,C4,NA,C4,TERN SIA,NA,NA,NA,NA,no site data
Tecticornia lylei,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Tecticornia pergranulata,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Tecticornia tenuis,Chenopodiaceae,C3,NA,C3,Carolin et al. 1982,NA,NA,NA,NA,no site data
Tecticornia triandra,Chenopodiaceae,C3,NA,C3,Carolin et al. 1982,NA,NA,NA,NA,no site data
Telopea speciosissima,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Templetonia aculeata,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Templetonia ceracea,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Templetonia egena,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Templetonia rossii,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Tephrosia coriacea,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Tephrosia delestangii,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Tephrosia filipes,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Tephrosia lasiochlaena,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Tephrosia leptoclada,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Tephrosia porrecta,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Tephrosia procera cowie,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Tephrosia remotiflora,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Tephrosia rosea,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Tephrosia sphaerospora,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Tephrosia subpectinata,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Tephrosia supina,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
